;;;;;;
"TABLA DE COEFICIENTES DE CONDUCTIBILIDAD TÉRMICA";;;;;;
"MATERIAL/ESTRUCTURA";"RUBRO";"Densidad (r) kg / m3";"Conductividad térmica (l) kcal.m/m2.h.°C";"Conductividad térmica (l) W/m.k";"Permeabilidad al vapor (d) g/m.h.kPa";"Permeancia al vapor de agua (m o D) g/m2.h.kPa"
"abedul perpendicular a las fibras";"MADERAS";680;0.112;0.130;0.023;
"acero";"METALES";7850;45.000;;0.000;
"acero de construcción";"METALES";7800;49.871;58.000;0.000;
"acero inoxidable";"METALES";8100;12.468;14.500;0.000;
"aglomerados de viruta y fibras de madera con cemento yeso";"PANELES O PLACAS";;0.070;;0.330;
"agua";;1000;0.500;;;
"aire a 0 °C sin convención";;;0.020;;0.626;
"aire a 20 °C sin convención";;;0.022;;0.626;
"albañilería de ladrillos al exterior";"MAMPOSTERÍA";1600;0.750;;0.080;
"albañilería de ladrillos con 0% de humedad";"MAMPOSTERÍA";1600;0.410;;0.080;
"albañilería de ladrillos con 0.9% de humedad";"MAMPOSTERÍA";1600;0.600;;0.080;
"albañilería de ladrillos con 1.3% de humedad";"MAMPOSTERÍA";1600;0.820;;0.080;
"alerce perpendicular a las fibras";"MADERAS";600;0.120;0.140;0.023;
"aluminio";"METALES";2700;175.408;204.000;0.000;
"amianto 1";;470;0.013;;;
"amianto 2";;580;0.167;;;
"amianto 3";;700;0.201;;;
"arce paralelo a las fibras";"MADERAS";700;0.361;0.420;0.023;
"arce perpendicular a las fibras";"MADERAS";;0.138;0.160;0.023;
"arcilla";"ROCAS Y SUELOS NATURALES";1200;0.318;0.370;;
"arena de mar humedad 10%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;1.066;1.240;;
"arena de mar humedad 20%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;1.505;1.750;;
"arena de mar saturada";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;2.098;2.440;;
"arena de río humedad 10%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;0.800;0.930;;
"arena de río humedad 20%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;1.144;1.330;;
"arena de río saturada";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;1.617;1.880;;
"arena de río seca";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";;0.267;0.310;;
"arena humedad 2%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";1500;0.499;0.580;;
"arena húmedad 7%";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";1900;1.000;;;
"arena seca";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";1500;0.258;0.300;;
"arena seca al aire";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";1300;0.500;;;
"arena y arcilla";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";2000;2.000;;;
"arena y canto rodado naturalmente húmedos";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";1800;1.200;;;
"arenisca 1";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";2000;1.100;;;
"arenisca 2";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";2200;1.204;1.400;;
"arenisca 3";"MATERIALES PARA RELLENO DE SUELOS DESECADOS AL AIRE, EN FORJADOS";2400;1.806;2.100;;
"asbesto celulósico 1";;1000;0.300;;0.040;
"asbesto celulósico 2";;1400;0.400;;0.026;
"asbesto celulósico 3";;1800;0.600;;0.010;
"asbesto cemento normal 1";;1400;0.550;;0.026;
"asbesto cemento normal 2";;1800;0.800;;0.010;
"asbesto cemento normal 3";;2200;1.100;;0.001;
"aserrín, virutas, fibras con humedad normal";"AISLANTES TÉRMICOS";200;0.060;;;
"asfalto (e mín 7mm y membranas asfálticas)";"MASILLAS Y ADHESIVOS";2000;0.602;0.700;;
"azulejo cerámico";"REVESTIMIENTO";2000;0.900;;0.003;
"baldosas cerámicas";"REVESTIMIENTO";2000;0.750;;0.003;
"baldosas cerámicas";"REVESTIMIENTO";;0.602;0.700;0.003;
"baldosas de cemento comprimido";"REVESTIMIENTO";2000;1.300;;0.002;
